GEOID,date,hour_range,risk_score,risk_level,risk_decile
06075021600,2025-10-25,12-15,1.681853734675974e-05,low,1
06075021600,2025-10-25,15-18,0.6085980845977311,medium,6
06075021600,2025-10-25,18-21,1.681853734675974e-05,low,1
06075021600,2025-10-25,21-24,1.681853734675974e-05,low,1
06075012204,2025-10-25,00-03,0.9999729449213013,critical,10
06075012204,2025-10-25,03-06,0.884616162662872,medium,6
06075012204,2025-10-25,06-09,2.352310652712177e-05,low,3
06075012204,2025-10-25,09-12,0.8080818267876086,medium,6
06075012204,2025-10-25,12-15,0.999972215039,critical,10
06075012204,2025-10-25,15-18,0.9999704766016388,critical,10
06075012204,2025-10-25,18-21,0.9999684911906462,high,9
06075012204,2025-10-25,21-24,0.9999701408797952,critical,10
06075020102,2025-10-25,00-03,0.9999701408797952,critical,10
06075020102,2025-10-25,03-06,0.6570844963201761,medium,6
06075020102,2025-10-25,06-09,0.9999729449213013,critical,10
06075020102,2025-10-25,09-12,0.999972215039,critical,10
06075020102,2025-10-25,12-15,0.9999693253099395,high,9
06075020102,2025-10-25,15-18,0.9999650529059579,high,9
06075020102,2025-10-25,18-21,0.9999693253099395,high,9
06075020102,2025-10-25,21-24,0.9999704766016388,critical,10
06075061101,2025-10-25,00-03,0.9999729449213013,critical,10
06075061101,2025-10-25,03-06,0.9999412844749059,high,9
06075061101,2025-10-25,06-09,0.9999705214285581,critical,10
06075061101,2025-10-25,09-12,0.9999701408797952,critical,10
06075061101,2025-10-25,12-15,0.9999704766016388,critical,10
06075061101,2025-10-25,15-18,0.9999704766016388,critical,10
06075061101,2025-10-25,18-21,0.999972215039,critical,10
06075061101,2025-10-25,21-24,0.9999701408797952,critical,10
06075033203,2025-10-25,00-03,0.5181469096023997,medium,6
06075033203,2025-10-25,03-06,0.07075082277832757,low,4
06075033203,2025-10-25,06-09,0.9991321985780385,medium,7
06075033203,2025-10-25,09-12,0.9995083123169629,medium,7
06075033203,2025-10-25,12-15,0.797389304824261,medium,6
06075033203,2025-10-25,15-18,0.9998353122258661,medium,8
06075033203,2025-10-25,18-21,0.02212640856933004,low,4
06075033203,2025-10-25,21-24,0.9995628292830102,medium,7
06075017602,2025-10-25,00-03,0.9999704766016388,critical,10
06075017602,2025-10-25,03-06,0.9999729449213013,critical,10
06075017602,2025-10-25,06-09,0.9999701408797952,critical,10
06075017602,2025-10-25,09-12,0.9999693253099395,high,9
06075017602,2025-10-25,12-15,0.9999683810885027,high,9
06075017602,2025-10-25,15-18,0.9999693253099395,high,9
06075017602,2025-10-25,18-21,0.9999683810885027,high,9
06075017602,2025-10-25,21-24,0.9999650529059579,high,9
06075020202,2025-10-25,00-03,1.681853734675974e-05,low,1
06075020202,2025-10-25,03-06,0.5496403058122418,medium,6
06075020202,2025-10-25,06-09,1.681853734675974e-05,low,1
06075020202,2025-10-25,09-12,0.999877527087455,high,9
06075020202,2025-10-25,12-15,0.24866582512291094,medium,5
06075020202,2025-10-25,15-18,0.48121655085788395,medium,6
06075020202,2025-10-25,18-21,0.9998969436055678,high,9
06075020202,2025-10-25,21-24,1.681853734675974e-05,low,1
06075012301,2025-10-25,00-03,0.999971883139551,critical,10
06075012301,2025-10-25,03-06,0.9999748084093941,critical,10
06075012301,2025-10-25,06-09,0.9994971720450395,medium,7
06075012301,2025-10-25,09-12,0.9999704766016388,critical,10
06075012301,2025-10-25,12-15,0.9999650529059579,high,9
06075012301,2025-10-25,15-18,0.9999686046320552,high,9
06075012301,2025-10-25,18-21,0.9999650529059579,high,9
06075012301,2025-10-25,21-24,0.9999701408797952,critical,10
06075035300,2025-10-25,00-03,1.681853734675974e-05,low,1
06075035300,2025-10-25,03-06,0.9993419621315521,medium,7
06075035300,2025-10-25,06-09,1.681853734675974e-05,low,1
06075035300,2025-10-25,09-12,0.3293946877966977,medium,5
06075035300,2025-10-25,12-15,0.997461890702193,medium,7
06075035300,2025-10-25,15-18,1.681853734675974e-05,low,1
06075035300,2025-10-25,18-21,0.28612624827355987,medium,5
06075035300,2025-10-25,21-24,0.6045204403895165,medium,6
06075017804,2025-10-25,00-03,0.999971883139551,critical,10
06075017804,2025-10-25,03-06,0.999970676328689,critical,10
06075017804,2025-10-25,06-09,0.9994586942773093,medium,7
06075017804,2025-10-25,09-12,0.9999704766016388,critical,10
06075017804,2025-10-25,12-15,2.748113504998835e-05,low,4
06075017804,2025-10-25,15-18,0.9999686046320552,high,9
06075017804,2025-10-25,18-21,0.9999650529059579,high,9
06075017804,2025-10-25,21-24,0.6862001755451138,medium,6
06075026202,2025-10-25,00-03,1.681853734675974e-05,low,1
06075026202,2025-10-25,03-06,1.681853734675974e-05,low,1
06075026202,2025-10-25,06-09,1.681853734675974e-05,low,1
06075026202,2025-10-25,09-12,0.9995763429231858,medium,8
06075026202,2025-10-25,12-15,1.681853734675974e-05,low,1
06075026202,2025-10-25,15-18,0.9995714918568515,medium,8
06075026202,2025-10-25,18-21,0.9996651566703171,medium,8
06075026202,2025-10-25,21-24,0.23533550367478137,low,5
06075020602,2025-10-25,00-03,1.681853734675974e-05,low,1
06075020602,2025-10-25,03-06,0.22674442887894572,low,4
06075020602,2025-10-25,06-09,0.5587099515010916,medium,6
06075020602,2025-10-25,09-12,0.4652177043411842,medium,5
06075020602,2025-10-25,12-15,0.9995709248906662,medium,8
06075020602,2025-10-25,15-18,1.681853734675974e-05,low,1
06075020602,2025-10-25,18-21,0.22639534083695695,low,4
06075020602,2025-10-25,21-24,1.681853734675974e-05,low,1
06075016101,2025-10-25,00-03,0.16581120643599453,low,4
06075016101,2025-10-25,03-06,1.681853734675974e-05,low,1
06075016101,2025-10-25,06-09,0.5097284489201578,medium,6
06075016101,2025-10-25,09-12,0.5561471243754926,medium,6
06075016101,2025-10-25,12-15,0.9997539577230243,medium,8
06075016101,2025-10-25,15-18,0.9999164348899552,high,9
06075016101,2025-10-25,18-21,0.9998893958887256,high,9
06075016101,2025-10-25,21-24,1.681853734675974e-05,low,1
06075020701,2025-10-25,00-03,0.9986612129717884,medium,7
06075020701,2025-10-25,03-06,0.20540570205974953,low,4
06075020701,2025-10-25,06-09,1.681853734675974e-05,low,1
06075020701,2025-10-25,09-12,1.681853734675974e-05,low,1
06075020701,2025-10-25,12-15,0.16251062014760734,low,4
06075020701,2025-10-25,15-18,0.9997655953060158,medium,8
06075020701,2025-10-25,18-21,0.09593770855309547,low,4
06075020701,2025-10-25,21-24,1.681853734675974e-05,low,1
06075021200,2025-10-25,00-03,0.40130286776710894,medium,5
06075021200,2025-10-25,03-06,1.681853734675974e-05,low,1
06075021200,2025-10-25,06-09,1.681853734675974e-05,low,1
06075021200,2025-10-25,09-12,0.1290779793725303,low,4
06075021200,2025-10-25,12-15,1.681853734675974e-05,low,1
06075021200,2025-10-25,15-18,1.681853734675974e-05,low,1
06075021200,2025-10-25,18-21,0.9993931273820693,medium,7
