GEOID,date,hour_range,risk_score,risk_level,risk_decile,expected_count,top1_category,top1_prob,top1_expected,top2_category,top2_prob,top2_expected,top3_category,top3_prob,top3_expected
06075980501,,00-03,0.2385073880189307,low,5,0.24999343983947675,Larceny Theft,0.0331895520520914,0.03375282347981066,Other Miscellaneous,0.02707409518164039,0.027447350961604274,Warrant,0.02562955148888446,0.025963710369085125
06075980501,,03-06,2.562991823954915e-05,low,3,0.006666666666666667,Motor Vehicle Theft,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075980501,,06-09,1.8863908735044244e-05,low,3,0.027422969187675075,Larceny Theft,0.005570069915971088,0.005585640602197892,Assault,0.002858897213202871,0.0028629916654481654,Drug Offense,0.0027189458895948704,0.002722648936749726
06075980501,,09-12,1.7192586298315802e-05,low,1,0.013333333333333334,Other Offenses,0.006644493744965563,0.006666666666666667,Recovered Vehicle,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075980501,,12-15,1.7192586298315802e-05,low,1,0.023053221288515408,Larceny Theft,0.005565466083567117,0.0055810109932050685,Assault,0.0028005991221220494,0.0028045281372889794,Malicious Mischief,0.001877269573094753,0.001879033851983616
06075980501,,15-18,3.490777267151655e-05,low,3,0.019915966386554622,Larceny Theft,0.0035941522081326394,0.003600626691354508,Assault,0.0021636579044386206,0.002166001994017946,Other Miscellaneous,0.0018829280962450179,0.0018847030337558752
06075980501,,18-21,1.7192586298315802e-05,low,1,0.013333333333333334,Warrant,0.006644493744965563,0.006666666666666667,Weapons Offense,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075980501,,21-24,1.7192586298315802e-05,low,1,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075016802,,00-03,1.7192586298315802e-05,low,1,0.006666666666666667,Miscellaneous Investigation,0.006644493744965563,0.006666666666666667,,0.0,0.0,,0.0,0.0
06075016802,,03-06,0.9993640504165354,medium,7,0.2,Larceny Theft,0.09516258196404048,0.1,Motor Vehicle Theft,0.09516258196404048,0.1,,0.0,0.0
06075016802,,06-09,1.7192586298315802e-05,low,1,0.020000000000000004,Assault,0.006644493744965563,0.006666666666666668,Larceny Theft,0.006644493744965563,0.006666666666666668,Recovered Vehicle,0.006644493744965563,0.006666666666666668
06075016802,,09-12,0.9998441345776035,high,9,0.7,Larceny Theft,0.2591817793182821,0.3,Assault,0.09516258196404037,0.09999999999999999,Fraud,0.09516258196404037,0.09999999999999999
06075016802,,12-15,0.6356818407061553,medium,6,0.30000000000000004,Burglary,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1,Warrant,0.09516258196404048,0.1
06075016802,,15-18,0.5317043911830984,medium,6,0.5866459978308809,Drug Offense,0.2542187847336973,0.29332299891544045,Burglary,0.1776166794700057,0.19554866594362696,Larceny Theft,0.09314647239480056,0.09777433297181348
06075016802,,18-21,0.9999613086920996,high,9,0.4,Drug Offense,0.2591817793182821,0.30000000000000004,Burglary,0.09516258196404048,0.1,,0.0,0.0
06075016802,,21-24,0.9993793996806609,medium,7,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075020802,,00-03,0.999962947880312,high,9,0.8999999999999999,Warrant,0.3296799539643607,0.3999999999999999,Assault,0.09516258196404037,0.09999999999999998,Drug Offense,0.09516258196404037,0.09999999999999998
06075020802,,03-06,0.7338996914444237,medium,6,0.8766519974252005,Drug Offense,0.2729663704338319,0.3187825445182547,Missing Person,0.21265354761235744,0.23908690838869104,Assault,0.0766026475874434,0.07969563612956368
06075020802,,06-09,0.9999648606522151,critical,10,0.8,Non-Criminal,0.2591817793182821,0.30000000000000004,Fire Report,0.09516258196404048,0.1,Malicious Mischief,0.09516258196404048,0.1
06075020802,,09-12,0.9999613086920996,high,9,1.0,Drug Offense,0.18126924692201818,0.2,Assault,0.09516258196404048,0.1,Burglary,0.09516258196404048,0.1
06075020802,,12-15,0.9999634521577548,critical,10,0.6000000000000001,Arson,0.09516258196404048,0.1,Assault,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1
06075020802,,15-18,0.9554314630074051,medium,7,0.7,Larceny Theft,0.18126924692201818,0.19999999999999998,Other Miscellaneous,0.18126924692201818,0.19999999999999998,Assault,0.09516258196404037,0.09999999999999999
06075020802,,18-21,0.9999634521577548,critical,10,0.5,Assault,0.18126924692201818,0.2,Disorderly Conduct,0.09516258196404048,0.1,Non-Criminal,0.09516258196404048,0.1
06075020802,,21-24,0.9999613086920996,high,9,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075061200,,00-03,1.7192586298315802e-05,low,1,0.013333333333333334,Suspicious Occ,0.006644493744965563,0.006666666666666667,Vehicle Impounded,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075061200,,03-06,0.20272178178707417,low,4,0.22008430987844876,Assault,0.043062178525277606,0.044016861975689756,Fraud,0.043062178525277606,0.044016861975689756,Larceny Theft,0.043062178525277606,0.044016861975689756
06075061200,,06-09,0.5549149478390232,medium,6,0.6732771479323988,Warrant,0.1549160327060044,0.1683192869830997,Larceny Theft,0.10614602670965712,0.11221285798873312,Assault,0.054561491534038,0.05610642899436656
06075061200,,09-12,0.2572386228509061,medium,5,0.2977508182027837,Assault,0.09448394631664192,0.09925027273426124,Disorderly Conduct,0.0325421532178225,0.033083424244753745,Larceny Theft,0.0325421532178225,0.033083424244753745
06075061200,,12-15,0.999962947880312,high,9,0.8,Weapons Carrying Etc,0.18126924692201818,0.2,Assault,0.09516258196404048,0.1,Forgery And Counterfeiting,0.09516258196404048,0.1
